시점,시도,시군구,미분양수,준공_후_미분양수,준공_전_미분양수
2007.05,서울특별시,종로구,19,0,19
2007.06,서울특별시,종로구,93,0,93
2007.07,서울특별시,종로구,89,0,89
2007.08,서울특별시,종로구,89,0,89
2007.09,서울특별시,종로구,89,0,89
2007.10,서울특별시,종로구,89,0,89
2007.11,서울특별시,종로구,81,0,81
2007.12,서울특별시,종로구,73,0,73
2008.01,서울특별시,종로구,73,0,73
2008.02,서울특별시,종로구,67,0,67
2008.03,서울특별시,종로구,64,0,64
2008.04,서울특별시,종로구,62,0,62
2008.05,서울특별시,종로구,61,0,61
2008.06,서울특별시,종로구,51,0,51
2008.07,서울특별시,종로구,48,0,48
2008.08,서울특별시,종로구,48,0,48
2008.09,서울특별시,종로구,46,0,46
2008.10,서울특별시,종로구,46,0,46
2008.11,서울특별시,종로구,45,0,45
2008.12,서울특별시,종로구,46,0,46
2009.01,서울특별시,종로구,46,0,46
2009.02,서울특별시,종로구,46,0,46
2009.03,서울특별시,종로구,46,0,46
2009.04,서울특별시,종로구,46,0,46
2009.05,서울특별시,종로구,45,0,45
2009.06,서울특별시,종로구,45,0,45
2009.07,서울특별시,종로구,45,0,45
2009.08,서울특별시,종로구,44,0,44
2009.09,서울특별시,종로구,43,0,43
2009.10,서울특별시,종로구,42,0,42
2009.11,서울특별시,종로구,42,0,42
2009.12,서울특별시,종로구,41,0,41
2010.01,서울특별시,종로구,41,41,0
2010.02,서울특별시,종로구,41,41,0
2010.03,서울특별시,종로구,46,46,0
2010.04,서울특별시,종로구,46,46,0
2010.05,서울특별시,종로구,46,46,0
2010.06,서울특별시,종로구,68,68,0
2010.07,서울특별시,종로구,68,68,0
2010.08,서울특별시,종로구,68,68,0
2010.09,서울특별시,종로구,68,68,0
2010.10,서울특별시,종로구,68,68,0
2010.11,서울특별시,종로구,68,68,0
2010.12,서울특별시,종로구,68,68,0
2011.01,서울특별시,종로구,68,68,0
2011.02,서울특별시,종로구,68,68,0
2011.03,서울특별시,종로구,68,68,0
2011.04,서울특별시,종로구,68,68,0
2011.05,서울특별시,종로구,68,68,0
2011.06,서울특별시,종로구,68,68,0
2011.07,서울특별시,종로구,68,68,0
2011.08,서울특별시,종로구,68,68,0
2011.09,서울특별시,종로구,68,68,0
2011.10,서울특별시,종로구,68,68,0
2011.11,서울특별시,종로구,68,68,0
2011.12,서울특별시,종로구,68,68,0
2012.01,서울특별시,종로구,68,68,0
2012.02,서울특별시,종로구,55,55,0
2012.03,서울특별시,종로구,51,51,0
2012.04,서울특별시,종로구,51,51,0
2012.05,서울특별시,종로구,47,47,0
2012.06,서울특별시,종로구,44,44,0
2012.07,서울특별시,종로구,44,44,0
2012.08,서울특별시,종로구,40,40,0
2012.09,서울특별시,종로구,40,40,0
2012.10,서울특별시,종로구,35,35,0
2012.11,서울특별시,종로구,31,31,0
2012.12,서울특별시,종로구,28,28,0
2007.08,서울특별시,중구,0,0,0
2007.11,서울특별시,중구,133,0,133
2007.12,서울특별시,중구,110,0,110
2008.01,서울특별시,중구,100,0,100
2008.02,서울특별시,중구,49,0,49
2008.03,서울특별시,중구,83,0,83
2008.04,서울특별시,중구,70,0,70
2008.05,서울특별시,중구,65,0,65
2008.06,서울특별시,중구,60,0,60
2008.07,서울특별시,중구,60,0,60
2008.08,서울특별시,중구,60,0,60
2008.09,서울특별시,중구,57,0,57
2008.10,서울특별시,중구,267,0,267
2008.11,서울특별시,중구,267,0,267
2008.12,서울특별시,중구,245,0,245
2009.01,서울특별시,중구,242,0,242
2009.02,서울특별시,중구,240,0,240
2009.03,서울특별시,중구,231,0,231
2009.04,서울특별시,중구,228,0,228
2009.05,서울특별시,중구,225,0,225
2009.06,서울특별시,중구,220,0,220
2009.07,서울특별시,중구,210,0,210
2009.08,서울특별시,중구,188,0,188
2009.09,서울특별시,중구,188,0,188
2009.10,서울특별시,중구,188,0,188
2009.11,서울특별시,중구,188,0,188
2009.12,서울특별시,중구,188,0,188
2010.01,서울특별시,중구,188,0,188
2010.02,서울특별시,중구,188,30,158
2010.03,서울특별시,중구,76,0,76
2010.04,서울특별시,중구,75,16,59
2010.05,서울특별시,중구,73,37,36
2010.06,서울특별시,중구,72,37,35
2010.07,서울특별시,중구,72,37,35
2010.08,서울특별시,중구,73,39,34
2010.09,서울특별시,중구,74,40,34
2010.10,서울특별시,중구,74,40,34
2010.11,서울특별시,중구,71,37,34
2010.12,서울특별시,중구,68,34,34
2011.01,서울특별시,중구,68,34,34
2011.02,서울특별시,중구,66,33,33
2011.03,서울특별시,중구,69,37,32
2011.04,서울특별시,중구,69,37,32
2011.05,서울특별시,중구,69,37,32
2011.06,서울특별시,중구,66,35,31
2011.07,서울특별시,중구,67,36,31
2011.08,서울특별시,중구,66,35,31
2011.09,서울특별시,중구,63,33,30
2011.10,서울특별시,중구,62,32,30
