시점,시도,시군구,미분양수
2007.05,서울특별시,종로구,19
2007.06,서울특별시,종로구,93
2007.07,서울특별시,종로구,89
2007.08,서울특별시,종로구,89
2007.09,서울특별시,종로구,89
2007.10,서울특별시,종로구,89
2007.11,서울특별시,종로구,81
2007.12,서울특별시,종로구,73
2008.01,서울특별시,종로구,73
2008.02,서울특별시,종로구,67
2008.03,서울특별시,종로구,64
2008.04,서울특별시,종로구,62
2008.05,서울특별시,종로구,61
2008.06,서울특별시,종로구,51
2008.07,서울특별시,종로구,48
2008.08,서울특별시,종로구,48
2008.09,서울특별시,종로구,46
2008.10,서울특별시,종로구,46
2008.11,서울특별시,종로구,45
2008.12,서울특별시,종로구,46
2009.01,서울특별시,종로구,46
2009.02,서울특별시,종로구,46
2009.03,서울특별시,종로구,46
2009.04,서울특별시,종로구,46
2009.05,서울특별시,종로구,45
2009.06,서울특별시,종로구,45
2009.07,서울특별시,종로구,45
2009.08,서울특별시,종로구,44
2009.09,서울특별시,종로구,43
2009.10,서울특별시,종로구,42
2009.11,서울특별시,종로구,42
2009.12,서울특별시,종로구,41
2010.01,서울특별시,종로구,41
2010.02,서울특별시,종로구,41
2010.03,서울특별시,종로구,46
2010.04,서울특별시,종로구,46
2010.05,서울특별시,종로구,46
2010.06,서울특별시,종로구,68
2010.07,서울특별시,종로구,68
2010.08,서울특별시,종로구,68
2010.09,서울특별시,종로구,68
2010.10,서울특별시,종로구,68
2010.11,서울특별시,종로구,68
2010.12,서울특별시,종로구,68
2011.01,서울특별시,종로구,68
2011.02,서울특별시,종로구,68
2011.03,서울특별시,종로구,68
2011.04,서울특별시,종로구,68
2011.05,서울특별시,종로구,68
2011.06,서울특별시,종로구,68
2011.07,서울특별시,종로구,68
2011.08,서울특별시,종로구,68
2011.09,서울특별시,종로구,68
2011.10,서울특별시,종로구,68
2011.11,서울특별시,종로구,68
2011.12,서울특별시,종로구,68
2012.01,서울특별시,종로구,68
2012.02,서울특별시,종로구,55
2012.03,서울특별시,종로구,51
2012.04,서울특별시,종로구,51
2012.05,서울특별시,종로구,47
2012.06,서울특별시,종로구,44
2012.07,서울특별시,종로구,44
2012.08,서울특별시,종로구,40
2012.09,서울특별시,종로구,40
2012.10,서울특별시,종로구,35
2012.11,서울특별시,종로구,31
2012.12,서울특별시,종로구,28
2007.08,서울특별시,중구,0
2007.11,서울특별시,중구,133
2007.12,서울특별시,중구,110
2008.01,서울특별시,중구,100
2008.02,서울특별시,중구,49
2008.03,서울특별시,중구,83
2008.04,서울특별시,중구,70
2008.05,서울특별시,중구,65
2008.06,서울특별시,중구,60
2008.07,서울특별시,중구,60
2008.08,서울특별시,중구,60
2008.09,서울특별시,중구,57
2008.10,서울특별시,중구,267
2008.11,서울특별시,중구,267
2008.12,서울특별시,중구,245
2009.01,서울특별시,중구,242
2009.02,서울특별시,중구,240
2009.03,서울특별시,중구,231
2009.04,서울특별시,중구,228
2009.05,서울특별시,중구,225
2009.06,서울특별시,중구,220
2009.07,서울특별시,중구,210
2009.08,서울특별시,중구,188
2009.09,서울특별시,중구,188
2009.10,서울특별시,중구,188
2009.11,서울특별시,중구,188
2009.12,서울특별시,중구,188
2010.01,서울특별시,중구,188
2010.02,서울특별시,중구,188
2010.03,서울특별시,중구,76
2010.04,서울특별시,중구,75
2010.05,서울특별시,중구,73
2010.06,서울특별시,중구,72
2010.07,서울특별시,중구,72
2010.08,서울특별시,중구,73
2010.09,서울특별시,중구,74
2010.10,서울특별시,중구,74
2010.11,서울특별시,중구,71
2010.12,서울특별시,중구,68
2011.01,서울특별시,중구,68
2011.02,서울특별시,중구,66
2011.03,서울특별시,중구,69
2011.04,서울특별시,중구,69
2011.05,서울특별시,중구,69
2011.06,서울특별시,중구,66
2011.07,서울특별시,중구,67
2011.08,서울특별시,중구,66
2011.09,서울특별시,중구,63
2011.10,서울특별시,중구,62
2011.11,서울특별시,중구,62
2011.12,서울특별시,중구,62
2012.01,서울특별시,중구,61
2012.02,서울특별시,중구,65
2012.03,서울특별시,중구,62
2012.04,서울특별시,중구,62
2012.05,서울특별시,중구,61
2012.06,서울특별시,중구,59
2012.07,서울특별시,중구,65
2012.08,서울특별시,중구,65
2012.09,서울특별시,중구,64
2012.10,서울특별시,중구,60
2012.11,서울특별시,중구,53
2012.12,서울특별시,중구,51
2007.08,서울특별시,강남구,0
2008.01,서울특별시,강남구,19
2008.02,서울특별시,강남구,19
2008.03,서울특별시,강남구,19
2008.04,서울특별시,강남구,19
2008.05,서울특별시,강남구,19
2008.06,서울특별시,강남구,19
2008.07,서울특별시,강남구,19
2008.08,서울특별시,강남구,19
2008.09,서울특별시,강남구,19
2008.10,서울특별시,강남구,19
2008.11,서울특별시,강남구,19
2008.12,서울특별시,강남구,19
2009.01,서울특별시,강남구,19
2009.02,서울특별시,강남구,19
2009.03,서울특별시,강남구,19
2009.04,서울특별시,강남구,19
2009.05,서울특별시,강남구,19
2009.06,서울특별시,강남구,18
