시점,시도,주택유형,개수
2011.01,강원특별자치도,아파트,0
2011.01,경기도,아파트,3096
2011.01,경상남도,아파트,355
2011.01,경상북도,아파트,179
2011.01,광주광역시,아파트,442
2011.01,대구광역시,아파트,0
2011.01,대전광역시,아파트,0
2011.01,부산광역시,아파트,1741
2011.01,서울특별시,아파트,5815
2011.01,울산광역시,아파트,672
2011.01,인천광역시,아파트,50
2011.01,전라남도,아파트,0
2011.01,전북특별자치도,아파트,14
2011.01,제주특별자치도,아파트,850
2011.01,충청남도,아파트,1502
2011.01,충청북도,아파트,811
2011.02,강원특별자치도,아파트,0
2011.02,경기도,아파트,3365
2011.02,경상남도,아파트,194
2011.02,경상북도,아파트,113
2011.02,광주광역시,아파트,0
2011.02,대구광역시,아파트,2604
2011.02,대전광역시,아파트,0
2011.02,부산광역시,아파트,502
2011.02,서울특별시,아파트,3848
2011.02,울산광역시,아파트,0
2011.02,인천광역시,아파트,2906
2011.02,전라남도,아파트,0
2011.02,전북특별자치도,아파트,1414
2011.02,제주특별자치도,아파트,150
2011.02,충청남도,아파트,230
2011.02,충청북도,아파트,0
2011.03,강원특별자치도,아파트,0
2011.03,경기도,아파트,6470
2011.03,경상남도,아파트,466
2011.03,경상북도,아파트,603
2011.03,광주광역시,아파트,1215
2011.03,대구광역시,아파트,1180
2011.03,대전광역시,아파트,132
2011.03,부산광역시,아파트,684
2011.03,서울특별시,아파트,591
2011.03,울산광역시,아파트,32
2011.03,인천광역시,아파트,4890
2011.03,전라남도,아파트,1335
2011.03,전북특별자치도,아파트,570
2011.03,제주특별자치도,아파트,35
2011.03,충청남도,아파트,36
2011.03,충청북도,아파트,304
2011.04,강원특별자치도,아파트,0
2011.04,경기도,아파트,6147
2011.04,경상남도,아파트,484
2011.04,경상북도,아파트,0
2011.04,광주광역시,아파트,0
2011.04,대구광역시,아파트,0
2011.04,대전광역시,아파트,732
2011.04,부산광역시,아파트,72
2011.04,서울특별시,아파트,3514
2011.04,울산광역시,아파트,0
2011.04,인천광역시,아파트,909
2011.04,전라남도,아파트,493
2011.04,전북특별자치도,아파트,1031
2011.04,제주특별자치도,아파트,89
2011.04,충청남도,아파트,0
2011.04,충청북도,아파트,0
2011.05,강원특별자치도,아파트,470
2011.05,경기도,아파트,2439
2011.05,경상남도,아파트,1334
2011.05,경상북도,아파트,1433
2011.05,광주광역시,아파트,0
2011.05,대구광역시,아파트,788
2011.05,대전광역시,아파트,0
2011.05,부산광역시,아파트,0
2011.05,서울특별시,아파트,952
2011.05,울산광역시,아파트,137
2011.05,인천광역시,아파트,1586
2011.05,전라남도,아파트,886
2011.05,전북특별자치도,아파트,1363
2011.05,제주특별자치도,아파트,63
2011.05,충청남도,아파트,1030
2011.05,충청북도,아파트,1051
2011.06,강원특별자치도,아파트,386
2011.06,경기도,아파트,8494
2011.06,경상남도,아파트,963
2011.06,경상북도,아파트,1086
2011.06,광주광역시,아파트,1666
2011.06,대구광역시,아파트,0
2011.06,대전광역시,아파트,780
2011.06,부산광역시,아파트,2431
2011.06,서울특별시,아파트,2402
2011.06,울산광역시,아파트,1407
2011.06,인천광역시,아파트,464
2011.06,전라남도,아파트,35
2011.06,전북특별자치도,아파트,0
2011.06,제주특별자치도,아파트,0
2011.06,충청남도,아파트,2385
2011.06,충청북도,아파트,498
2011.07,강원특별자치도,아파트,0
2011.07,경기도,아파트,3042
2011.07,경상남도,아파트,1008
2011.07,경상북도,아파트,34
2011.07,광주광역시,아파트,671
2011.07,대구광역시,아파트,108
2011.07,대전광역시,아파트,1121
2011.07,부산광역시,아파트,364
2011.07,서울특별시,아파트,4384
2011.07,울산광역시,아파트,402
2011.07,인천광역시,아파트,1962
2011.07,전라남도,아파트,421
2011.07,전북특별자치도,아파트,143
2011.07,제주특별자치도,아파트,134
2011.07,충청남도,아파트,0
2011.07,충청북도,아파트,504
2011.08,강원특별자치도,아파트,568
2011.08,경기도,아파트,5655
2011.08,경상남도,아파트,1368
2011.08,경상북도,아파트,622
2011.08,광주광역시,아파트,0
2011.08,대구광역시,아파트,903
2011.08,대전광역시,아파트,1729
2011.08,부산광역시,아파트,98
2011.08,서울특별시,아파트,1294
2011.08,울산광역시,아파트,100
2011.08,인천광역시,아파트,2690
2011.08,전라남도,아파트,630
2011.08,전북특별자치도,아파트,0
2011.08,제주특별자치도,아파트,27
2011.08,충청남도,아파트,0
2011.08,충청북도,아파트,0
2011.09,강원특별자치도,아파트,130
2011.09,경기도,아파트,4403
2011.09,경상남도,아파트,542
2011.09,경상북도,아파트,966
2011.09,광주광역시,아파트,1078
2011.09,대구광역시,아파트,242
2011.09,대전광역시,아파트,890
2011.09,부산광역시,아파트,1980
2011.09,서울특별시,아파트,1509
2011.09,울산광역시,아파트,11
2011.09,인천광역시,아파트,1347
2011.09,전라남도,아파트,0
2011.09,전북특별자치도,아파트,201
2011.09,제주특별자치도,아파트,35
2011.09,충청남도,아파트,569
2011.09,충청북도,아파트,0
2011.10,강원특별자치도,아파트,0
2011.10,경기도,아파트,15189
2011.10,경상남도,아파트,2422
2011.10,경상북도,아파트,687
2011.10,광주광역시,아파트,1692
2011.10,대구광역시,아파트,28
2011.10,대전광역시,아파트,4007
2011.10,부산광역시,아파트,43
2011.10,서울특별시,아파트,4340
2011.10,울산광역시,아파트,19
2011.10,인천광역시,아파트,2178
2011.10,전라남도,아파트,249
2011.10,전북특별자치도,아파트,614
2011.10,제주특별자치도,아파트,0
2011.10,충청남도,아파트,3142
2011.10,충청북도,아파트,18
2011.11,강원특별자치도,아파트,0
2011.11,경기도,아파트,2513
2011.11,경상남도,아파트,127
2011.11,경상북도,아파트,1114
2011.11,광주광역시,아파트,794
