시점,시도,주택유형,개수
2011.01,강원특별자치도,아파트,639
2011.01,경기도,아파트,315
2011.01,경상남도,아파트,271
2011.01,경상북도,아파트,57
2011.01,광주광역시,아파트,0
2011.01,대구광역시,아파트,0
2011.01,대전광역시,아파트,518
2011.01,부산광역시,아파트,1309
2011.01,서울특별시,아파트,103
2011.01,울산광역시,아파트,268
2011.01,인천광역시,아파트,199
2011.01,전라남도,아파트,0
2011.01,전북특별자치도,아파트,0
2011.01,제주특별자치도,아파트,182
2011.01,충청남도,아파트,471
2011.01,충청북도,아파트,0
2011.02,강원특별자치도,아파트,451
2011.02,경기도,아파트,2504
2011.02,경상남도,아파트,673
2011.02,경상북도,아파트,32
2011.02,광주광역시,아파트,0
2011.02,대구광역시,아파트,0
2011.02,대전광역시,아파트,100
2011.02,부산광역시,아파트,1062
2011.02,서울특별시,아파트,309
2011.02,울산광역시,아파트,60
2011.02,인천광역시,아파트,353
2011.02,전라남도,아파트,256
2011.02,전북특별자치도,아파트,32
2011.02,제주특별자치도,아파트,353
2011.02,충청남도,아파트,0
2011.02,충청북도,아파트,0
2011.03,강원특별자치도,아파트,114
2011.03,경기도,아파트,3472
2011.03,경상남도,아파트,131
2011.03,경상북도,아파트,74
2011.03,광주광역시,아파트,0
2011.03,대구광역시,아파트,0
2011.03,대전광역시,아파트,587
2011.03,부산광역시,아파트,945
2011.03,서울특별시,아파트,5451
2011.03,울산광역시,아파트,1438
2011.03,인천광역시,아파트,371
2011.03,전라남도,아파트,0
2011.03,전북특별자치도,아파트,0
2011.03,제주특별자치도,아파트,159
2011.03,충청남도,아파트,915
2011.03,충청북도,아파트,46
2011.04,강원특별자치도,아파트,0
2011.04,경기도,아파트,8775
2011.04,경상남도,아파트,3403
2011.04,경상북도,아파트,1060
2011.04,광주광역시,아파트,554
2011.04,대구광역시,아파트,1152
2011.04,대전광역시,아파트,91
2011.04,부산광역시,아파트,4065
2011.04,서울특별시,아파트,3023
2011.04,울산광역시,아파트,1542
2011.04,인천광역시,아파트,1972
2011.04,전라남도,아파트,61
2011.04,전북특별자치도,아파트,2018
2011.04,제주특별자치도,아파트,853
2011.04,충청남도,아파트,947
2011.04,충청북도,아파트,100
2011.05,강원특별자치도,아파트,1277
2011.05,경기도,아파트,3773
2011.05,경상남도,아파트,2738
2011.05,경상북도,아파트,118
2011.05,광주광역시,아파트,0
2011.05,대구광역시,아파트,750
2011.05,대전광역시,아파트,2143
2011.05,부산광역시,아파트,1146
2011.05,서울특별시,아파트,765
2011.05,울산광역시,아파트,626
2011.05,인천광역시,아파트,288
2011.05,전라남도,아파트,284
2011.05,전북특별자치도,아파트,319
2011.05,제주특별자치도,아파트,241
2011.05,충청남도,아파트,150
2011.05,충청북도,아파트,1821
2011.06,강원특별자치도,아파트,6
2011.06,경기도,아파트,202
2011.06,경상남도,아파트,420
2011.06,경상북도,아파트,4
2011.06,광주광역시,아파트,663
2011.06,대구광역시,아파트,158
2011.06,대전광역시,아파트,96
2011.06,부산광역시,아파트,3302
2011.06,서울특별시,아파트,4962
2011.06,울산광역시,아파트,18
2011.06,인천광역시,아파트,993
2011.06,전라남도,아파트,803
2011.06,전북특별자치도,아파트,0
2011.06,제주특별자치도,아파트,285
2011.06,충청남도,아파트,669
2011.06,충청북도,아파트,0
2011.07,강원특별자치도,아파트,463
2011.07,경기도,아파트,1233
2011.07,경상남도,아파트,2344
2011.07,경상북도,아파트,363
2011.07,광주광역시,아파트,1039
