시점,시도,주택유형,개수
2014.01,강원특별자치도,다가구,278
2014.02,강원특별자치도,다가구,350
2014.03,강원특별자치도,다가구,491
2014.04,강원특별자치도,다가구,549
2014.05,강원특별자치도,다가구,493
2014.06,강원특별자치도,다가구,399
2014.07,강원특별자치도,다가구,448
2014.08,강원특별자치도,다가구,337
2014.09,강원특별자치도,다가구,341
2014.10,강원특별자치도,다가구,483
2014.11,강원특별자치도,다가구,541
2014.12,강원특별자치도,다가구,287
2015.01,강원특별자치도,다가구,242
2015.02,강원특별자치도,다가구,441
2015.03,강원특별자치도,다가구,688
2015.04,강원특별자치도,다가구,733
2015.05,강원특별자치도,다가구,618
2015.06,강원특별자치도,다가구,759
2015.07,강원특별자치도,다가구,654
2015.08,강원특별자치도,다가구,417
2015.09,강원특별자치도,다가구,767
2015.10,강원특별자치도,다가구,548
2015.11,강원특별자치도,다가구,504
2015.12,강원특별자치도,다가구,424
2016.01,강원특별자치도,다가구,494
2016.02,강원특별자치도,다가구,585
2016.03,강원특별자치도,다가구,824
2016.04,강원특별자치도,다가구,792
2016.05,강원특별자치도,다가구,746
2016.06,강원특별자치도,다가구,635
2016.07,강원특별자치도,다가구,1116
2016.08,강원특별자치도,다가구,1066
2016.09,강원특별자치도,다가구,503
2016.10,강원특별자치도,다가구,368
2016.11,강원특별자치도,다가구,530
2016.12,강원특별자치도,다가구,631
2017.01,강원특별자치도,다가구,802
2017.02,강원특별자치도,다가구,534
2017.03,강원특별자치도,다가구,595
2017.04,강원특별자치도,다가구,822
2017.05,강원특별자치도,다가구,458
2017.06,강원특별자치도,다가구,468
2017.07,강원특별자치도,다가구,576
2017.08,강원특별자치도,다가구,744
2017.09,강원특별자치도,다가구,831
2017.10,강원특별자치도,다가구,428
2017.11,강원특별자치도,다가구,393
2017.12,강원특별자치도,다가구,701
2018.01,강원특별자치도,다가구,454
2018.02,강원특별자치도,다가구,292
2018.03,강원특별자치도,다가구,521
2018.04,강원특별자치도,다가구,541
2018.05,강원특별자치도,다가구,673
2018.06,강원특별자치도,다가구,887
2018.07,강원특별자치도,다가구,1375
2018.08,강원특별자치도,다가구,659
2018.09,강원특별자치도,다가구,512
2018.10,강원특별자치도,다가구,183
2018.11,강원특별자치도,다가구,202
2018.12,강원특별자치도,다가구,272
2019.01,강원특별자치도,다가구,124
2019.02,강원특별자치도,다가구,91
2019.03,강원특별자치도,다가구,195
2019.04,강원특별자치도,다가구,224
2019.05,강원특별자치도,다가구,133
2019.06,강원특별자치도,다가구,94
2019.07,강원특별자치도,다가구,192
2019.08,강원특별자치도,다가구,86
2019.09,강원특별자치도,다가구,113
2019.10,강원특별자치도,다가구,114
2019.11,강원특별자치도,다가구,76
2019.12,강원특별자치도,다가구,204
2020.01,강원특별자치도,다가구,54
2020.02,강원특별자치도,다가구,65
2020.03,강원특별자치도,다가구,111
2020.04,강원특별자치도,다가구,99
2020.05,강원특별자치도,다가구,59
2020.06,강원특별자치도,다가구,182
2020.07,강원특별자치도,다가구,55
2020.08,강원특별자치도,다가구,89
2020.09,강원특별자치도,다가구,76
2020.10,강원특별자치도,다가구,85
2020.11,강원특별자치도,다가구,79
2020.12,강원특별자치도,다가구,69
2021.01,강원특별자치도,다가구,65
2021.02,강원특별자치도,다가구,58
2021.03,강원특별자치도,다가구,178
2021.04,강원특별자치도,다가구,118
2021.05,강원특별자치도,다가구,55
2021.06,강원특별자치도,다가구,112
2021.07,강원특별자치도,다가구,98
2021.08,강원특별자치도,다가구,52
2021.09,강원특별자치도,다가구,90
2021.10,강원특별자치도,다가구,87
2021.11,강원특별자치도,다가구,102
2021.12,강원특별자치도,다가구,80
2022.01,강원특별자치도,다가구,22
2022.02,강원특별자치도,다가구,19
2022.03,강원특별자치도,다가구,104
2022.04,강원특별자치도,다가구,187
2022.05,강원특별자치도,다가구,111
2022.06,강원특별자치도,다가구,118
2022.07,강원특별자치도,다가구,26
2022.08,강원특별자치도,다가구,74
2022.09,강원특별자치도,다가구,95
2022.10,강원특별자치도,다가구,29
2022.11,강원특별자치도,다가구,77
2022.12,강원특별자치도,다가구,46
2023.01,강원특별자치도,다가구,27
2023.02,강원특별자치도,다가구,27
2023.03,강원특별자치도,다가구,23
2023.04,강원특별자치도,다가구,11
2023.05,강원특별자치도,다가구,80
2023.06,강원특별자치도,다가구,39
2023.07,강원특별자치도,다가구,30
2023.08,강원특별자치도,다가구,35
2023.09,강원특별자치도,다가구,54
2023.10,강원특별자치도,다가구,40
2023.11,강원특별자치도,다가구,28
2023.12,강원특별자치도,다가구,95
2024.01,강원특별자치도,다가구,65
2024.02,강원특별자치도,다가구,21
2024.03,강원특별자치도,다가구,97
2024.04,강원특별자치도,다가구,14
2024.05,강원특별자치도,다가구,20
2024.06,강원특별자치도,다가구,59
2024.07,강원특별자치도,다가구,46
2024.08,강원특별자치도,다가구,33
2024.09,강원특별자치도,다가구,10
2024.10,강원특별자치도,다가구,43
2024.11,강원특별자치도,다가구,14
